"PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported"
"0036_01","Earth","no","F/8/S","55 Cancri e",15,NA,0,492,48,20,401,"Marina Leodger","no"
"0038_01","Earth","no","F/10/S","55 Cancri e",20,"no",554,195,0,2606,0,"Loise Wheelez","no"
"0039_01","Earth","yes","G/1/P","55 Cancri e",30,"no",0,0,NA,0,0,"Jorgie Batthewitt","no"
"0041_01","Earth","yes","G/2/P","TRAPPIST-1e",17,"no",0,0,0,0,0,"Margia Moodsey","yes"
"0043_01","Europa","no","B/3/P","TRAPPIST-1e",45,"no",0,164,45,2511,855,"Ankalik Cylistrand","no"
"0044_01","Earth","yes","G/3/P","TRAPPIST-1e",55,"no",0,0,0,0,0,"Jodye Coopelandez","no"
"0044_02","Earth","yes","G/3/P","55 Cancri e",4,"no",0,0,0,0,0,"Kayne Coopelandez","yes"
"0044_03","Earth","yes","G/3/P","PSO J318.5-22",21,"no",0,0,0,0,0,"Cassa Coopelandez","yes"
"0045_01","Mars","no","F/10/P","TRAPPIST-1e",21,"no",970,0,180,0,64,"Zelowl Chmad","no"
"0045_02","Mars","yes","F/10/P",NA,19,"no",0,0,0,0,0,"Mass Chmad","yes"
"0050_01","Earth","no","E/1/S","55 Cancri e",35,"no",790,0,0,NA,0,"Sony Lancis","no"
"0051_01","Earth","no","E/2/S","TRAPPIST-1e",56,"no",0,112,0,1379,127,"Vivia Johnshines","no"
"0052_01","Earth","no","G/6/S","TRAPPIST-1e",NA,"no",4,0,2,4683,0,"Elaney Hubbarton","no"
"0053_01","Earth","no","F/11/S","TRAPPIST-1e",25,"no",0,0,1938,0,1,"Elson Hickerson","yes"
"0056_01","Europa","no","A/1/S","TRAPPIST-1e",2,"no",0,0,0,0,0,"Okulas Tractive","yes"
"0056_02","Europa","yes","A/1/S","TRAPPIST-1e",38,"no",0,0,0,0,0,"Instab Tractive","yes"
"0056_03","Europa","no","A/1/S","TRAPPIST-1e",27,"no",279,605,3374,286,3,"Zinoces Tractive","yes"
"0058_01","Earth","yes","G/7/S","PSO J318.5-22",36,"no",0,0,0,0,0,"Warry Ayalazquez","no"
"0061_01","Earth","no","F/12/S","TRAPPIST-1e",22,"no",45,1096,148,1377,1,"Shanya Salez","no"
"0062_01","Earth","no","F/13/S","TRAPPIST-1e",62,"no",0,592,0,17,25,"Sterry Greeves","no"
"0064_01","Mars","yes","F/14/S","TRAPPIST-1e",15,"no",0,0,0,0,0,NA,"yes"
"0064_02",NA,"yes","E/3/S","TRAPPIST-1e",33,"no",0,0,NA,0,0,"Colatz Keen","yes"
"0066_01","Earth","no","G/6/P","TRAPPIST-1e",62,"no",1,153,197,0,460,"Diandy Pecketton","no"
"0067_01","Earth","yes","G/10/S","PSO J318.5-22",0,"no",0,0,0,0,0,"Ninaha Leeves","yes"
"0067_02","Earth","no","G/10/S","TRAPPIST-1e",18,"no",1,258,446,0,0,"Celine Leeves","yes"
"0067_03","Earth","no","F/15/S","55 Cancri e",21,"no",1946,37,0,0,24,"Velyne Leeves","no"
"0068_01","Mars","no","E/4/S","TRAPPIST-1e",NA,"no",793,0,2,253,0,"Cinst Binie","no"
"0069_01","Earth","no","F/16/S","TRAPPIST-1e",42,"no",887,0,9,6,0,NA,"yes"
"0070_01","Earth","no","F/13/P","TRAPPIST-1e",19,"no",190,0,5,1,726,"Meremy Brighttt","no"
"0071_01","Earth","no","F/14/P","TRAPPIST-1e",17,"no",16,2165,0,0,52,"Nelly Dillines","no"
"0072_01","Earth","no","F/17/S","TRAPPIST-1e",14,"no",0,1,0,0,1063,"Thell Brantuarez","no"
"0073_01","Mars","no","D/3/P","PSO J318.5-22",37,"no",46,83,738,0,12,"Gorn Make","no"
"0074_01","Europa","no","C/3/S","TRAPPIST-1e",42,"no",1,8397,0,0,506,"Aldibah Mostedry","yes"
"0076_01","Mars","no","F/18/S","TRAPPIST-1e",27,"no",147,0,1018,0,0,"Conk Dal","yes"
"0077_01","Mars","no","F/15/P","TRAPPIST-1e",28,"no",14,0,1295,0,0,"Pon Blité","yes"
"0078_01","Europa","no","C/4/S","TRAPPIST-1e",38,"no",0,5840,0,321,9654,"Spuri Pokerheed","no"
"0081_01","Earth","yes","G/13/S","TRAPPIST-1e",13,"no",0,0,0,0,0,"Dellie Vinozarks","no"
"0082_01","Mars","no","F/16/P","TRAPPIST-1e",42,"no",7406,0,0,0,0,"Totse Datte","no"
"0082_02","Mars","yes","F/16/P","TRAPPIST-1e",2,"no",0,0,0,0,0,"Eaturs Datte","yes"
"0082_03","Mars","no","F/16/P","TRAPPIST-1e",8,"no",0,0,0,0,0,NA,"yes"
"0084_01","Earth","no","G/14/S","TRAPPIST-1e",24,"no",688,0,0,0,17,"Coren Coopezmaney","yes"
"0085_01","Europa","yes","C/5/S","TRAPPIST-1e",40,"no",0,0,0,0,0,"Furudah Ellcefulve","yes"
"0086_01","Earth","no","F/17/P","TRAPPIST-1e",43,"no",211,0,0,638,513,"Jodye Kinson","no"
"0088_01","Mars","yes","E/5/S","PSO J318.5-22",45,"no",0,0,0,0,0,"Stmeal Sacre","yes"
"0090_01","Earth","yes","G/15/S","TRAPPIST-1e",35,"no",0,0,0,0,0,"Heremy Santry","yes"
"0091_01","Earth","yes","G/16/S","TRAPPIST-1e",26,"no",NA,0,0,0,0,"Deanne Yorkland","yes"
"0091_02","Earth","no","F/20/S","TRAPPIST-1e",27,"no",1,697,31,188,0,"Tinez Yorkland","no"
"0092_01","Earth","no","G/9/P","TRAPPIST-1e",19,"no",0,0,670,1,34,"Gracy Dunnisey","no"
"0092_02","Earth","yes","G/9/P","TRAPPIST-1e",0,"no",0,0,NA,0,0,"Stald Hewson","yes"
"0092_03","Earth","yes","G/9/P","TRAPPIST-1e",3,"no",0,0,0,0,0,"Tiney Hewson","yes"
"0097_01","Europa","no","A/2/S","TRAPPIST-1e",54,"no",0,1208,0,3,637,"Alchium Fictful","no"
"0098_01","Earth","no","G/11/P","TRAPPIST-1e",26,"no",0,856,5,32,0,"Doria Carezquez","no"
"0098_02","Earth","no","G/11/P","TRAPPIST-1e",26,"no",0,2811,957,0,87,"Leence Carezquez","yes"
"0099_01","Earth","no","F/19/P","PSO J318.5-22",23,"no",311,427,526,37,0,"Aliey Leetersoney","no"
"0099_02","Earth",NA,"G/12/P","TRAPPIST-1e",2,"no",0,0,0,0,0,"Thewis Connelson","yes"
"0101_01","Mars","yes",NA,"TRAPPIST-1e",31,"no",0,0,0,0,0,"Book Trad","yes"
"0102_01","Earth","no","F/23/S","TRAPPIST-1e",18,"no",0,0,0,830,91,"Ritany Holson","no"
"0103_01","Earth","no","F/24/S","TRAPPIST-1e",24,"no",0,NA,0,0,17,"Arlen Mclainez","yes"
"0103_02","Earth","yes","G/18/S","55 Cancri e",9,"no",0,0,0,0,0,"Shaele Mclainez","yes"
"0103_03","Earth","yes","G/18/S","TRAPPIST-1e",6,"no",0,0,0,0,0,"Fanne Mclainez","no"
"0105_01","Earth",NA,"F/21/P","TRAPPIST-1e",27,"no",0,0,570,2,131,"Carry Cleachrand","no"
"0107_01","Mars","no","D/2/S","TRAPPIST-1e",21,"no",1743,5,17,0,0,"Coobix Hart","no"
"0108_01","Earth","yes","G/19/S","TRAPPIST-1e",23,"no",0,0,0,0,0,"Natald Handertiz","no"
"0108_02","Earth","no","G/19/S","TRAPPIST-1e",31,"no",562,0,326,0,0,NA,"no"
"0108_03","Earth","no","G/19/S","TRAPPIST-1e",0,NA,0,0,0,0,0,"Oline Handertiz","yes"
"0110_01","Europa","no",NA,"TRAPPIST-1e",32,"no",0,410,6,3929,764,"Graviph Aloubtled","no"
"0110_02","Europa",NA,"B/5/P","TRAPPIST-1e",40,"no",0,331,0,0,1687,"Aldeba Bootious","no"
"0110_03","Europa","no","B/5/P","TRAPPIST-1e",42,"no",2209,11418,0,1868,445,"Alaratz Aloubtled","yes"
"0110_04","Europa","yes","B/5/P","TRAPPIST-1e",28,"no",0,0,0,0,0,"Izark Aloubtled","yes"
"0111_01","Europa","yes","E/6/S","TRAPPIST-1e",29,"no",0,0,0,0,0,"Aldera Supred","yes"
"0112_01","Europa","no","B/1/S","55 Cancri e",48,"yes",0,2537,87,17,13,"Moth Cowtale","yes"
"0113_01","Earth","no","F/23/P","TRAPPIST-1e",64,"no",0,0,804,0,0,"Idary Carvis","yes"
"0114_01","Earth","no","G/20/S","TRAPPIST-1e",27,"no",82,157,429,238,1,"Maura Beckerson","no"
"0115_01","Mars",NA,"F/24/P","TRAPPIST-1e",26,"no",0,0,0,0,NA,"Rohs Pead","yes"
"0116_01","Europa","no","D/4/P","TRAPPIST-1e",33,"no",1,2223,0,12,404,"Alhenah Suptive","yes"
"0119_01",NA,"no","A/0/P","TRAPPIST-1e",39,"no",0,2344,0,65,6898,"Batan Coning","no"
"0119_02","Europa","yes","A/0/P","TRAPPIST-1e",13,"no",0,0,0,0,0,"Kleeiak Coning","yes"
"0120_01","Mars","yes","F/25/P","TRAPPIST-1e",24,"no",0,0,0,0,NA,"Bees Sacre","yes"
"0122_01","Earth","no","G/21/S","TRAPPIST-1e",29,"no",0,0,0,699,74,"Shelle Hayder","no"
"0123_01","Earth","no","F/27/P","TRAPPIST-1e",18,"no",55,597,49,0,1,"Iree Fielson","no"
"0126_01","Mars","yes","F/27/S","TRAPPIST-1e",67,"no",0,0,0,0,0,"Milly Mish","yes"
"0127_01","Mars","no","E/7/S","TRAPPIST-1e",35,"no",701,0,296,0,25,"Miloss Mesty","no"
"0128_01","Mars","no","D/3/S","TRAPPIST-1e",61,"yes",2353,334,9,316,2,"Grohs Fles","no"
"0128_02","Mars","no","E/8/S","TRAPPIST-1e",45,"no",2103,6,0,0,0,"Barave Fles","no"
"0129_01","Earth","yes","G/22/S","PSO J318.5-22",22,"no",0,0,NA,0,0,"Race Fowles","yes"
"0133_01","Mars","yes","F/29/S","TRAPPIST-1e",19,"no",0,0,0,0,0,"Flynx Blie","yes"
"0133_02","Mars","no","D/5/S","TRAPPIST-1e",36,"no",2738,0,0,0,0,"Egrasp Blie","no"
"0134_01","Earth","no","G/17/P","TRAPPIST-1e",19,"no",0,14,730,0,0,"Camina Harmontry","yes"
"0136_01","Earth","no","G/23/S","PSO J318.5-22",47,"no",97,418,126,25,55,NA,"no"
"0138_01","Earth","yes","G/18/P","TRAPPIST-1e",13,"no",0,0,0,0,0,"Fayene Gambs","yes"
"0138_02","Earth","no","E/5/P",NA,34,"no",0,22,0,564,207,"Monah Gambs","no"
"0139_01","Europa","yes","C/6/S","55 Cancri e",35,"no",0,0,0,0,0,"Charda Myling","yes"
"0140_01","Earth","yes","G/19/P","TRAPPIST-1e",24,"no",0,0,0,0,0,"Evaley Mejiaddox","yes"
"0140_02","Earth","no","F/29/P","TRAPPIST-1e",26,"no",440,0,0,0,462,"Verney Whitakers","no"
"0141_01","Mars","no","F/30/P","TRAPPIST-1e",31,"no",NA,0,97,0,0,"Pyrohs Harte","no"
"0144_01","Earth","no","F/31/S","TRAPPIST-1e",20,"no",0,420,210,0,0,"Guadae Dayers","yes"
"0146_01","Earth","no","G/25/S","TRAPPIST-1e",56,"no",0,0,0,0,0,"Verly Wolferguson","no"
"0147_01","Earth","yes","G/26/S","TRAPPIST-1e",50,"no",0,0,0,0,0,"Samie Hubbarrison","yes"
"0148_01","Mars","no","F/31/P","TRAPPIST-1e",42,"no",1072,0,10,0,76,"Corsh Pashe","no"
"0149_01","Earth","yes","G/27/S","55 Cancri e",NA,"no",0,0,0,0,0,"Billya Hubbarrison","yes"
"0151_01","Earth","yes","G/20/P","55 Cancri e",38,"no",0,0,0,0,0,"Shanie Simson","no"
"0152_01","Earth","no","F/32/P",NA,41,"no",0,0,0,0,607,"Andan Estron","no"
"0160_01","Earth","no","G/22/P","TRAPPIST-1e",22,"no",4119,0,0,0,61,"Gory Atkinney","no"
"0163_01","Europa","yes","B/8/P","TRAPPIST-1e",26,"no",0,0,0,0,0,"Kabiton Hetforhaft","yes"
"0163_02","Europa","yes","B/8/P","TRAPPIST-1e",17,"no",0,0,0,0,0,"Scharab Hetforhaft","yes"
"0164_01","Earth","no","G/28/S","TRAPPIST-1e",57,"no",50,1688,0,NA,135,"Fany Hutchinton","yes"
"0164_02","Earth","yes","G/28/S","PSO J318.5-22",17,"no",0,0,0,0,0,"Ianya Hutchinton","no"
"0165_01","Mars","yes","F/37/P","TRAPPIST-1e",35,NA,0,0,0,0,0,"Graven Anche","yes"
"0167_01","Mars","yes","F/35/S","TRAPPIST-1e",13,"no",0,0,0,0,0,"Miten Floaf","yes"
"0167_02","Mars","no","F/35/S","TRAPPIST-1e",27,"no",1365,0,48,22,137,"Rios Floaf","no"
"0169_01","Earth","yes","G/23/P","TRAPPIST-1e",31,"no",0,0,0,0,0,"Wandy Fisherry","no"
"0170_01","Earth","no","E/10/S","TRAPPIST-1e",24,"no",0,0,0,221,567,"Mollie Mcmahoney","no"
"0171_01","Earth","yes","G/30/S","PSO J318.5-22",19,"no",0,0,0,0,0,"Coracy Gordanieves","yes"
"0172_01","Earth","yes","G/24/P","TRAPPIST-1e",32,"no",0,0,0,0,0,"Hanna Johnshines","yes"
"0173_01","Earth",NA,"E/11/S","TRAPPIST-1e",58,"no",0,985,0,5,0,"Hilip Grifford","yes"
"0174_01","Earth","no","F/38/P","55 Cancri e",21,"no",287,0,16,115,175,"Doryn Lambles","no"
"0177_01","Europa","no","B/2/S","TRAPPIST-1e",38,"no",0,10346,1,14970,2111,"Toperon Iniouser","no"
"0178_01","Mars","no","D/6/S","TRAPPIST-1e",38,"no",3414,0,161,28,119,"Wees Knik","no"
"0179_01","Earth","no","G/26/P","TRAPPIST-1e",19,"no",1,219,673,2,11,"Elaney Webstephrey","yes"
"0179_02","Earth","no","G/26/P","TRAPPIST-1e",0,"no",0,0,0,0,0,"Raque Webstephrey","no"
"0179_03","Earth","no","G/26/P","TRAPPIST-1e",3,"no",0,0,0,0,0,"Sallyl Webstephrey","yes"
"0181_01","Earth","no","G/27/P","TRAPPIST-1e",20,"no",0,0,3,299,92,"Nancis Brighttt","no"
"0182_01","Europa","yes","C/3/P","TRAPPIST-1e",24,"no",0,0,0,0,0,"Ksorab Disight","yes"
"0183_01","Earth","no","F/36/S","TRAPPIST-1e",37,"no",17,146,426,0,232,"Stany Weaves","yes"
"0186_01","Earth","no","G/28/P","TRAPPIST-1e",25,"no",62,0,0,0,956,"Camiet Shephendry","no"
"0188_01","Earth","yes","G/31/S","TRAPPIST-1e",56,"no",0,0,0,0,0,"Branda Romez","yes"
"0189_01","Earth","no","E/8/P","55 Cancri e",49,"no",84,3,401,202,98,"Helly Booters","no"
"0190_01","Earth","yes","G/32/S","55 Cancri e",11,"no",0,0,0,0,0,NA,"no"
"0192_01","Earth","yes","G/29/P","TRAPPIST-1e",1,"no",0,0,0,0,0,"Tance Adavisons","yes"
"0192_02","Earth","no","G/29/P","TRAPPIST-1e",8,"no",0,0,0,0,0,"Robyny Adavisons","no"
"0192_03","Earth","no","G/29/P","TRAPPIST-1e",39,"no",0,0,10,898,0,"Lilace Adavisons","no"
"0193_01","Mars","yes","F/41/P","TRAPPIST-1e",2,"no",0,0,0,0,0,"Sps Raf","yes"
"0193_02","Mars","no","F/41/P","TRAPPIST-1e",23,"no",NA,0,8,1072,0,"Frook Raf","no"
"0193_03","Mars","no","F/41/P","TRAPPIST-1e",0,"no",0,0,0,0,0,"Goles Raf","yes"
"0195_01","Mars","no","F/42/P","TRAPPIST-1e",39,"no",406,0,867,0,0,"Bar Floaf","yes"
"0196_01","Mars","no","D/5/P","PSO J318.5-22",25,"no",1052,0,719,0,7,"Caper Emead","no"
"0197_01","Europa","no","C/5/P","TRAPPIST-1e",36,"no",0,972,0,795,575,"Astrak Dissper","no"
"0198_01","Earth",NA,"G/30/P","PSO J318.5-22",52,"no",0,0,0,0,0,"Jeroy Cookson","yes"
"0199_01","Earth","yes","G/33/S","TRAPPIST-1e",18,"no",0,0,0,0,0,"Regana Morrows","no"
"0200_01","Earth","yes","G/31/P","TRAPPIST-1e",15,"no",0,0,0,0,0,"Elia Colomonson","yes"
"0201_01","Europa","yes","B/3/S","TRAPPIST-1e",35,"no",0,0,0,0,0,"Kaffias Bacistion","yes"
"0201_02","Europa","yes","B/3/S","TRAPPIST-1e",47,"no",0,0,0,0,0,"Edaruma Bacistion","yes"
"0202_01","Europa","yes","B/9/P","55 Cancri e",45,"no",0,0,0,0,0,"Pomera Embleng","yes"
"0202_02","Europa","no","A/2/P","55 Cancri e",NA,"no",0,2433,NA,878,443,"Vegas Embleng","yes"
"0203_01","Europa","yes","C/8/S","TRAPPIST-1e",51,"no",0,0,0,0,0,"Ancham Heateele","yes"
"0205_01","Earth","no","G/34/S","TRAPPIST-1e",29,"no",0,2,66,0,705,"Carma Oneiles","no"
"0206_01","Europa","no","C/9/S","55 Cancri e",NA,"no",2,1720,12,1125,122,"Nuson Brugashed","yes"
"0207_01","Earth","yes","G/32/P","PSO J318.5-22",19,"no",0,0,0,0,0,"Thony Mcfaddennon","no"
"0210_01",NA,"yes","D/6/P","55 Cancri e",24,"no",0,0,NA,0,0,"Arraid Inicont","yes"
"0211_01","Mars","no","F/44/P","TRAPPIST-1e",29,"no",902,1,137,0,0,"Pebuts Appie","yes"
"0211_02","Mars","yes","F/44/P","TRAPPIST-1e",11,"no",0,0,0,0,0,"Corsh Appie","yes"
"0211_03","Mars","no","F/44/P","TRAPPIST-1e",17,"no",848,0,307,182,0,"Picers Date","no"
"0212_01","Earth","no","E/9/P","TRAPPIST-1e",13,"no",192,0,0,51,739,"Inen Workmans","no"
"0212_02","Earth","no","F/45/P","TRAPPIST-1e",35,"no",147,188,0,10,387,"Shally Workmans","no"
"0213_01","Earth","no","F/46/P","TRAPPIST-1e",21,"no",367,281,0,0,146,"Carita Navages","no"
"0216_01","Earth","no","F/40/S","55 Cancri e",21,"no",0,56,0,0,1918,"Searla Garnes","no"
"0217_01","Earth","no","F/47/P","TRAPPIST-1e",38,"no",1517,0,0,27,0,"Prilly Shieldson","no"
"0219_01","Earth","yes","G/36/P","TRAPPIST-1e",19,"no",0,0,0,0,0,"Nica River","yes"
"0220_01","Earth","yes","G/37/P","TRAPPIST-1e",2,"no",0,0,0,0,0,"Tyle Wilsoney","yes"
"0220_02","Earth","no","G/37/P","TRAPPIST-1e",0,"no",0,0,0,0,0,"Wena Wilsoney","yes"
"0220_03","Earth","yes","G/37/P","TRAPPIST-1e",13,"no",0,0,0,0,0,"Branca Wilsoney","no"
"0220_04","Earth","no","E/10/P","TRAPPIST-1e",25,"no",122,84,NA,0,0,"Dont Wilsoney","no"
"0220_05","Earth","no","F/48/P","TRAPPIST-1e",16,"no",0,3,0,0,1099,"Velyne Wilsoney","no"
"0220_06","Earth","no","G/37/P","55 Cancri e",1,"no",0,0,0,0,0,"Weney Wilsoney","no"
"0220_07","Earth","yes","G/37/P","TRAPPIST-1e",15,"no",0,0,0,0,0,"Guye Wilsoney","yes"
"0221_01","Mars","no","E/13/S","55 Cancri e",21,"no",2237,0,119,0,0,"Cowhex Blan","no"
"0221_02","Mars","no","E/13/S","TRAPPIST-1e",23,"no",1215,80,1,2,0,"Yogark Reke","no"
"0221_03","Mars","no","E/13/S","TRAPPIST-1e",33,"no",1933,12,188,1,0,"Jacks Reke","no"
"0221_04","Mars","yes","E/13/S","TRAPPIST-1e",21,"no",0,0,0,0,0,"Eerch Reke","yes"
"0221_05","Mars","no","E/13/S","TRAPPIST-1e",41,"no",1230,0,301,43,1023,"Panbug Reke","no"
"0221_06","Mars","no","E/13/S","TRAPPIST-1e",16,"no",915,0,221,234,0,"Gran Reke","no"
"0221_07","Mars","yes","E/13/S","TRAPPIST-1e",42,"no",0,0,0,0,0,"Rohs Reke","no"
"0222_01","Mars","no","F/41/S","TRAPPIST-1e",20,"no",1406,0,0,11,0,"Gone Perte","no"
"0222_02","Mars","yes","F/41/S","TRAPPIST-1e",24,"no",0,0,0,0,0,"Colf Deva","yes"
"0222_03","Mars","yes","E/14/S","TRAPPIST-1e",16,"no",0,0,0,0,0,"Grake Perte","yes"
"0223_01","Earth","no","G/35/S","TRAPPIST-1e",21,"no",0,2,665,0,9,"Evan Sykess","no"
"0224_01","Mars","no","F/42/S","TRAPPIST-1e",32,"yes",181,0,5,1634,0,"Blues Queen","no"
"0225_01","Earth","yes","G/38/P","PSO J318.5-22",58,"no",0,0,0,0,0,"Carly Hortis","yes"
"0229_01","Earth","no","F/43/S","TRAPPIST-1e",24,"no",4,7,0,713,79,"Done Sellahaney","no"
"0231_01","Mars","no","F/44/S","TRAPPIST-1e",30,"no",85,0,1,1720,0,"Krus Nate","no"
"0232_01","Earth","yes","G/36/S","PSO J318.5-22",27,"no",0,NA,0,0,0,"Nica Bakerrison","no"
"0233_01","Mars","no","F/45/S","TRAPPIST-1e",32,"no",56,0,256,1438,0,"Teda Wist","no"
"0234_01","Earth","no","F/50/P","TRAPPIST-1e",43,"no",NA,888,0,0,0,"Keitha Josey","no"
"0237_01","Europa","yes","B/11/P","TRAPPIST-1e",42,"no",0,0,0,0,0,"Weias Aginge","yes"
"0239_01","Mars","no",NA,"TRAPPIST-1e",37,"no",637,0,0,92,319,"Diedow Resty","no"
"0240_01","Mars","yes","F/52/P","TRAPPIST-1e",35,"no",0,0,0,0,0,"Puffes Crie","yes"
"0241_01","Europa",NA,"E/11/P","55 Cancri e",33,"no",0,1249,0,4812,1116,"Alas Dischod","no"
"0242_01",NA,"no","F/46/S","TRAPPIST-1e",18,"no",313,1,691,283,0,"Almone Sté","no"
"0243_01","Earth","yes","G/37/S","TRAPPIST-1e",21,"no",0,0,0,0,0,"Lilace Cartyernan","no"
"0244_01","Mars","yes",NA,"TRAPPIST-1e",43,"no",0,0,0,0,0,"Froos Sad","yes"
"0244_02","Mars","yes","F/47/S","55 Cancri e",14,NA,0,0,0,0,0,"Tous Sad","yes"
"0245_01","Europa","no","C/6/P","55 Cancri e",46,"no",0,3571,0,0,7,"Glueba Repumparte","yes"
"0245_02","Europa","no","C/6/P","TRAPPIST-1e",33,"no",0,86,796,584,10912,"Anchib Repumparte","no"
"0246_01","Mars","no","D/8/P","TRAPPIST-1e",21,"no",2947,0,287,27,0,"Mele Sesa","no"
"0248_01","Europa","no","C/10/S","TRAPPIST-1e",33,"no",0,1,0,8620,1063,"Genifi Spanxibus","no"
"0250_01","Earth","yes","G/38/S","PSO J318.5-22",47,"no",NA,0,0,0,0,"Camily Kramosley","no"
"0251_01",NA,"yes","C/11/S","55 Cancri e",54,"no",0,0,0,0,0,"Diphah Amsive","yes"
"0252_01","Earth","no","F/53/P","TRAPPIST-1e",30,"no",335,695,541,0,0,"Leenny Byerry","no"
"0253_01","Earth","no","G/42/P","TRAPPIST-1e",29,"no",272,615,0,0,1,"Dawne Cardner","no"
"0254_01","Earth","no","F/54/P","TRAPPIST-1e",21,"no",702,172,408,2,6,"Race Stenson","yes"
"0255_01","Europa","yes","A/3/S","TRAPPIST-1e",24,"no",0,0,0,0,0,"Ashir Mingious","yes"
"0257_01","Mars","no","F/49/S","55 Cancri e",21,"no",1664,0,NA,0,0,"Errohs Berte","no"
